experiment_index,elapsed,label,experiment
1,55305,4 - Friends and fof that have been to countries,default
2,8898,4 - Friends and fof that have been to countries,default
3,8797,4 - Friends and fof that have been to countries,default
4,8798,4 - Friends and fof that have been to countries,default
5,9959,4 - Friends and fof that have been to countries,default
6,6960,4 - Friends and fof that have been to countries,default
7,6966,4 - Friends and fof that have been to countries,default
8,6947,4 - Friends and fof that have been to countries,default
9,1274,4 - Friends and fof that have been to countries,default
10,1123,4 - Friends and fof that have been to countries,default
11,1113,4 - Friends and fof that have been to countries,default
12,1124,4 - Friends and fof that have been to countries,default
13,3928,4 - Friends and fof that have been to countries,default
14,2518,4 - Friends and fof that have been to countries,default
15,2526,4 - Friends and fof that have been to countries,default
16,2532,4 - Friends and fof that have been to countries,default
1,5738,4 - Friends and fof that have been to countries,1GB
2,4780,4 - Friends and fof that have been to countries,1GB
3,4665,4 - Friends and fof that have been to countries,1GB
4,4663,4 - Friends and fof that have been to countries,1GB
5,3985,4 - Friends and fof that have been to countries,1GB
6,3942,4 - Friends and fof that have been to countries,1GB
7,3912,4 - Friends and fof that have been to countries,1GB
8,3936,4 - Friends and fof that have been to countries,1GB
9,582,4 - Friends and fof that have been to countries,1GB
10,403,4 - Friends and fof that have been to countries,1GB
11,375,4 - Friends and fof that have been to countries,1GB
12,381,4 - Friends and fof that have been to countries,1GB
13,1506,4 - Friends and fof that have been to countries,1GB
14,1452,4 - Friends and fof that have been to countries,1GB
15,1488,4 - Friends and fof that have been to countries,1GB
16,1465,4 - Friends and fof that have been to countries,1GB
1,3183,4 - Friends and fof that have been to countries,2GB
2,1753,4 - Friends and fof that have been to countries,2GB
3,1671,4 - Friends and fof that have been to countries,2GB
4,1657,4 - Friends and fof that have been to countries,2GB
5,1353,4 - Friends and fof that have been to countries,2GB
6,1225,4 - Friends and fof that have been to countries,2GB
7,1217,4 - Friends and fof that have been to countries,2GB
8,1209,4 - Friends and fof that have been to countries,2GB
9,239,4 - Friends and fof that have been to countries,2GB
10,214,4 - Friends and fof that have been to countries,2GB
11,206,4 - Friends and fof that have been to countries,2GB
12,206,4 - Friends and fof that have been to countries,2GB
13,487,4 - Friends and fof that have been to countries,2GB
14,419,4 - Friends and fof that have been to countries,2GB
15,423,4 - Friends and fof that have been to countries,2GB
16,428,4 - Friends and fof that have been to countries,2GB
1,2416,4 - Friends and fof that have been to countries,4GB
2,1758,4 - Friends and fof that have been to countries,4GB
3,1668,4 - Friends and fof that have been to countries,4GB
4,1665,4 - Friends and fof that have been to countries,4GB
5,1280,4 - Friends and fof that have been to countries,4GB
6,1231,4 - Friends and fof that have been to countries,4GB
7,1217,4 - Friends and fof that have been to countries,4GB
8,1215,4 - Friends and fof that have been to countries,4GB
9,237,4 - Friends and fof that have been to countries,4GB
10,206,4 - Friends and fof that have been to countries,4GB
11,207,4 - Friends and fof that have been to countries,4GB
12,208,4 - Friends and fof that have been to countries,4GB
13,452,4 - Friends and fof that have been to countries,4GB
14,422,4 - Friends and fof that have been to countries,4GB
15,423,4 - Friends and fof that have been to countries,4GB
16,421,4 - Friends and fof that have been to countries,4GB
1,2415,4 - Friends and fof that have been to countries,8GB
2,1710,4 - Friends and fof that have been to countries,8GB
3,1649,4 - Friends and fof that have been to countries,8GB
4,1621,4 - Friends and fof that have been to countries,8GB
5,1238,4 - Friends and fof that have been to countries,8GB
6,1201,4 - Friends and fof that have been to countries,8GB
7,1208,4 - Friends and fof that have been to countries,8GB
8,1190,4 - Friends and fof that have been to countries,8GB
9,232,4 - Friends and fof that have been to countries,8GB
10,202,4 - Friends and fof that have been to countries,8GB
11,200,4 - Friends and fof that have been to countries,8GB
12,201,4 - Friends and fof that have been to countries,8GB
13,444,4 - Friends and fof that have been to countries,8GB
14,412,4 - Friends and fof that have been to countries,8GB
15,417,4 - Friends and fof that have been to countries,8GB
16,418,4 - Friends and fof that have been to countries,8GB
